date,station_id,station_name,nitrogen_mg_per_L,phosphorus_mg_per_L,heavy_metals_ppb,turbidity_ntu,ph,dissolved_oxygen_mg_per_L,temperature_celsius,Water Quality
7/2/23,North,North Shore,0.95,0.022,10.6,7.9,7.22,7.9,23.4,Healthy
7/2/23,South,South Shore,0.88,0.022,11.3,8,7.33,8.4,23.3,Healthy
7/2/23,East,East Shore,0.85,0.034,13,5.5,7.52,7.4,26.7,Healthy
7/2/23,West,West Shore,0.88,0.028,9.5,7.6,7.54,7.8,26.3,Healthy
7/9/23,North,North Shore,1,0.028,9.7,7.7,7.51,7.8,23.6,Healthy
7/9/23,South,South Shore,0.89,0.04,9.8,5.4,7.37,7.2,23.9,Healthy
7/9/23,East,East Shore,0.87,0.029,11.3,4.6,7.45,7.3,24.8,Healthy
7/9/23,West,West Shore,0.99,0.021,9.4,6.7,7.51,8.1,24,Healthy
7/16/23,North,North Shore,1.01,0.04,12,5.5,7.35,7.1,24.4,Healthy
7/16/23,South,South Shore,1.04,0.029,13.2,5.6,7.46,7.7,23.7,Healthy
7/16/23,East,East Shore,0.68,0.029,11.9,7.8,7.45,7.5,24.6,Healthy
7/16/23,West,West Shore,1.03,0.037,13.1,4.9,7.46,7.5,25.1,Healthy
7/23/23,North,North Shore,0.62,0.021,13.2,6.2,7.6,8.4,24.4,Healthy
7/23/23,South,South Shore,0.65,0.033,10.6,7.4,7.45,7.7,25.1,Healthy
7/23/23,East,East Shore,1,0.026,8.3,4.9,7.37,7.2,23.7,Healthy
7/23/23,West,West Shore,0.68,0.022,12.8,7.4,7.22,7.9,25.1,Healthy
7/30/23,North,North Shore,0.83,0.025,8.9,4.3,7.5,7,24.4,Healthy
7/30/23,South,South Shore,0.68,0.029,12.1,4.7,7.42,7.9,22.4,Healthy
7/30/23,East,East Shore,1.02,0.024,9.5,4.9,7.22,7.7,23,Healthy
7/30/23,West,West Shore,1.1,0.026,11.4,7.9,7.24,8,23,Healthy
8/6/23,North,North Shore,0.97,0.021,12.1,6,7.55,7.7,21.1,Healthy
8/6/23,South,South Shore,0.9,0.027,12.8,6.2,7.44,7.9,22.8,Healthy
8/6/23,East,East Shore,1.02,0.033,12,7.5,7.25,8,21.7,Healthy
8/6/23,West,West Shore,0.97,0.022,11.5,4.5,7.19,8.1,20.5,Healthy
8/13/23,North,North Shore,1.09,0.031,11.2,7.6,7.23,8.2,22.3,Healthy
8/13/23,South,South Shore,1,0.035,10.9,4.7,7.58,7.2,19.6,Healthy
8/13/23,East,East Shore,1.03,0.034,13.8,7.9,7.5,8.5,20.5,Healthy
8/13/23,West,West Shore,0.61,0.031,12.7,5.3,7.44,8,21.4,Healthy
8/20/23,North,North Shore,1.07,0.022,12.9,4.2,7.54,7,20.3,Healthy
8/20/23,South,South Shore,0.71,0.021,13.5,7.1,7.25,8.4,19.6,Healthy
8/20/23,East,East Shore,1.07,0.026,8.8,5.5,7.54,7.1,18.6,Healthy
8/20/23,West,West Shore,0.94,0.035,10.7,7.7,7.47,7.6,18.6,Healthy
8/27/23,North,North Shore,0.65,0.03,10.5,5,7.12,8.4,18.4,Healthy
8/27/23,South,South Shore,1.08,0.037,10.7,3.5,7.37,8,20.8,Healthy
8/27/23,East,East Shore,0.8,0.024,10.2,3.6,7.33,8.3,19.6,Healthy
8/27/23,West,West Shore,0.9,0.02,11.9,6.9,7.16,7.4,19.2,Healthy
9/3/23,North,North Shore,0.98,0.024,8.4,4.1,7.26,8.8,16.4,Healthy
9/3/23,South,South Shore,0.6,0.037,13.4,3.7,7.23,7.7,16.5,Healthy
9/3/23,East,East Shore,0.61,0.02,12,6.9,7.26,7.9,16.5,Healthy
9/3/23,West,West Shore,0.97,0.031,8.3,6.7,7.49,8.2,17.9,Healthy
9/10/23,North,North Shore,1.73,0.057,8.7,7.3,7.33,8.3,18.5,Concern
9/10/23,South,South Shore,0.84,0.028,8.4,6.4,7.55,8.2,14.9,Healthy
9/10/23,East,East Shore,0.9,0.021,8.5,4.4,7.37,8.4,15.9,Healthy
9/10/23,West,West Shore,1.06,0.032,14,3.5,7.53,8.6,17.2,Healthy
9/17/23,North,North Shore,1.22,0.054,12.6,4.7,7.31,8.2,13.8,Concern
9/17/23,South,South Shore,0.93,0.027,10.6,3.8,7.13,8.9,16.8,Healthy
9/17/23,East,East Shore,0.65,0.035,8.6,7.1,7.39,8.3,15.7,Healthy
9/17/23,West,West Shore,0.83,0.033,10,6.8,7.46,8.8,17.3,Healthy
9/24/23,North,North Shore,0.89,0.024,13.5,6.3,7.15,7.8,15.6,Healthy
9/24/23,South,South Shore,0.89,0.036,11.1,7.2,7.51,9,14.7,Healthy
9/24/23,East,East Shore,1.06,0.037,11.9,4.3,7.45,7.8,13.5,Healthy
9/24/23,West,West Shore,1.03,0.031,18.1,5,7.42,7.7,12.3,Healthy
10/1/23,North,North Shore,0.71,0.028,12.5,4.7,7.46,8.1,14.1,Healthy
10/1/23,South,South Shore,0.64,0.021,11.4,3.8,7.44,8.4,12.1,Healthy
10/1/23,East,East Shore,0.84,0.029,12,4.4,7.16,8.6,12.8,Healthy
10/1/23,West,West Shore,0.94,0.03,9.7,6.3,7.3,7.6,13.4,Healthy
10/8/23,North,North Shore,0.75,0.024,8,3.7,7.26,7.9,9.9,Healthy
10/8/23,South,South Shore,0.69,0.028,12.5,6.5,7.52,8.3,13.1,Healthy
10/8/23,East,East Shore,1.03,0.021,8.4,3.1,7.53,8.9,12.2,Healthy
10/8/23,West,West Shore,0.95,0.028,11.4,3.6,7.26,7.5,13.1,Healthy
10/15/23,North,North Shore,1.02,0.038,11.7,3.4,7.22,8.8,11.1,Healthy
10/15/23,South,South Shore,0.8,0.026,11.1,4.7,7.18,8,10.8,Healthy
10/15/23,East,East Shore,0.85,0.058,8.7,23.2,7.17,7.6,9.5,Concern
10/15/23,West,West Shore,0.98,0.033,11.6,3.9,7.35,8.7,11.8,Healthy
10/22/23,North,North Shore,0.82,0.038,12.6,5.8,7.41,8.5,11.1,Healthy
10/22/23,South,South Shore,0.68,0.021,11.8,5.2,7.24,8,7.9,Healthy
10/22/23,East,East Shore,0.76,0.045,11,17.8,7.41,7.4,9.7,Concern
10/22/23,West,West Shore,0.88,0.036,10.8,7.5,7.5,8.2,10.3,Healthy
10/29/23,North,North Shore,0.84,0.023,9.9,3.3,7.55,7.7,8.1,Healthy
10/29/23,South,South Shore,0.85,0.023,12.3,4.2,7.32,8.2,8.8,Healthy
10/29/23,East,East Shore,0.79,0.047,9,14.3,7.13,7.4,7.1,Concern
10/29/23,West,West Shore,0.74,0.034,12.1,6.3,7.54,8.9,8,Healthy
11/5/23,North,North Shore,0.67,0.027,11.5,7.8,7.3,8.5,8.2,Healthy
11/5/23,South,South Shore,0.75,0.028,13.6,7,7.44,8.7,9.1,Healthy
11/5/23,East,East Shore,0.94,0.055,12.4,13.3,7.21,7.7,9.6,Concern
11/5/23,West,West Shore,0.71,0.023,10.9,3.4,7.15,8.8,8.9,Healthy
11/12/23,North,North Shore,1.04,0.021,13,4.7,7.17,8.6,6.5,Healthy
11/12/23,South,South Shore,1.02,0.035,9,7,7.32,7.7,6.7,Healthy
11/12/23,East,East Shore,0.72,0.048,12.1,15.4,7.5,7.8,6.9,Concern
11/12/23,West,West Shore,0.78,0.039,13,7.9,7.24,8.2,6.6,Healthy
11/19/23,North,North Shore,1.08,0.036,11.2,7,7.23,7.7,6.9,Healthy
11/19/23,South,South Shore,0.88,0.022,13.2,7.2,7.24,8.8,7.4,Healthy
11/19/23,East,East Shore,1.05,0.023,9.6,5.2,7.21,8.9,6.2,Healthy
11/19/23,West,West Shore,0.61,0.021,10.1,5.5,7.6,7.9,5.9,Healthy
11/26/23,North,North Shore,1.07,0.037,8.2,6.2,7.17,8.7,5,Healthy
11/26/23,South,South Shore,0.95,0.023,13,6.5,7.1,8.2,4.1,Healthy
11/26/23,East,East Shore,1.02,0.031,9.5,6.6,7.16,8.3,5,Healthy
11/26/23,West,West Shore,0.62,0.028,9.8,7,7.16,8.2,7.4,Healthy
12/3/23,North,North Shore,0.61,0.03,11.6,4.2,7.31,7.7,5.9,Healthy
12/3/23,South,South Shore,0.81,0.033,9.4,3.4,7.13,9,5.5,Healthy
12/3/23,East,East Shore,1.09,0.031,11,5,7.42,8.2,7.3,Healthy
12/3/23,West,West Shore,0.61,0.036,9.5,4.7,7.41,8.6,6.5,Healthy
12/10/23,North,North Shore,0.62,0.031,20,7.1,7.09,6.9,5.7,Concern
12/10/23,South,South Shore,0.99,0.029,14.2,4.5,7.2,7.6,4,Healthy
12/10/23,East,East Shore,1.09,0.031,16,4.3,7.2,8.6,4.6,Healthy
12/10/23,West,West Shore,0.77,0.022,48.8,4.8,7.17,7.2,7,Violation
12/17/23,North,North Shore,0.85,0.038,11,5.6,7.46,8.7,4,Healthy
12/17/23,South,South Shore,1.01,0.031,11.6,4.6,7.43,7.6,4.2,Healthy
12/17/23,East,East Shore,0.81,0.034,11.6,4.8,7.54,7.6,4.4,Healthy
12/17/23,West,West Shore,0.74,0.04,14,7.7,7.42,7.6,4.5,Healthy
12/24/23,North,North Shore,0.94,0.039,12.8,3.7,7.49,8.4,4,Healthy
12/24/23,South,South Shore,0.99,0.027,8.4,4.9,7.4,8.4,5.7,Healthy
12/24/23,East,East Shore,0.79,0.035,13.7,5.9,7.3,8.3,5.6,Healthy
12/24/23,West,West Shore,0.66,0.035,9.5,5.5,7.38,8.1,4.1,Healthy
12/31/23,North,North Shore,0.82,0.04,9.6,4.4,7.35,8.9,4,Healthy
12/31/23,South,South Shore,0.83,0.038,13.1,5.2,7.44,7.6,6.6,Healthy
12/31/23,East,East Shore,0.77,0.021,9.9,5.7,7.53,8.8,6,Healthy
12/31/23,West,West Shore,0.92,0.036,13.6,5.5,7.2,7.7,4,Healthy
1/7/24,North,North Shore,0.61,0.031,12.7,4.8,7.38,8.7,5.9,Healthy
1/7/24,South,South Shore,0.75,0.04,8.5,6.6,7.48,8.3,6.8,Healthy
1/7/24,East,East Shore,1.09,0.033,8.4,5.2,7.27,8.5,7,Healthy
1/7/24,West,West Shore,0.92,0.024,12.7,7.8,7.56,8.1,4,Healthy
1/14/24,North,North Shore,0.68,0.023,8.7,4.6,7.27,8.6,7.7,Healthy
1/14/24,South,South Shore,1.02,0.025,13.4,6.2,7.16,8.3,5.1,Healthy
1/14/24,East,East Shore,0.85,0.023,11.2,7.7,7.43,7.7,6.8,Healthy
1/14/24,West,West Shore,1.02,0.031,11.6,7.1,7.12,7.5,6.5,Healthy
1/21/24,North,North Shore,0.93,0.035,11.5,5.1,7.35,8.5,7,Healthy
1/21/24,South,South Shore,1.08,0.03,9.7,7,7.25,8.5,4.8,Healthy
1/21/24,East,East Shore,0.82,0.03,8.4,4,7.26,8.4,7.4,Healthy
1/21/24,West,West Shore,1.03,0.04,12.4,3.7,7.38,8.1,5.8,Healthy
1/28/24,North,North Shore,0.73,0.025,10.8,3.5,7.29,7.9,7.7,Healthy
1/28/24,South,South Shore,1.03,0.023,9.5,4.6,7.26,8.4,8.2,Healthy
1/28/24,East,East Shore,0.86,0.03,11,4.5,7.57,7.5,7.2,Healthy
1/28/24,West,West Shore,0.71,0.027,13.8,3.3,7.54,8.2,7.8,Healthy
2/4/24,North,North Shore,0.87,0.037,10.8,5.2,7.46,8.8,9.1,Healthy
2/4/24,South,South Shore,0.8,0.031,10.2,4,7.14,8.3,8,Healthy
2/4/24,East,East Shore,0.74,0.04,12.6,6.4,7.59,7.7,7.6,Healthy
2/4/24,West,West Shore,0.77,0.039,12.8,6.8,7.35,7.8,8,Healthy
2/11/24,North,North Shore,0.67,0.027,8.3,5.4,7.4,8.2,9,Healthy
2/11/24,South,South Shore,0.91,0.023,10,8,7.25,8.6,8.3,Healthy
2/11/24,East,East Shore,0.87,0.034,13,4.5,7.28,8.7,9.6,Healthy
2/11/24,West,West Shore,0.89,0.036,13.9,6.6,7.11,8.5,8.8,Healthy
2/18/24,North,North Shore,0.99,0.036,13.8,5.9,7.39,8.6,8.6,Healthy
2/18/24,South,South Shore,0.91,0.037,11.8,3.7,7.12,8.5,11.7,Healthy
2/18/24,East,East Shore,0.61,0.026,8.7,3.8,7.31,8.5,11,Healthy
2/18/24,West,West Shore,1.04,0.035,13.5,3.3,7.2,7.7,9.2,Healthy
2/25/24,North,North Shore,0.86,0.026,12,3.9,7.27,8.9,10.4,Healthy
2/25/24,South,South Shore,0.96,0.033,12.6,6.5,7.2,8.4,10,Healthy
2/25/24,East,East Shore,0.71,0.039,11.3,4.5,7.2,7.9,11.8,Healthy
2/25/24,West,West Shore,0.77,0.039,9.9,7,7.16,7.9,11.7,Healthy
3/3/24,North,North Shore,1.09,0.036,10.3,7.8,7.25,8.7,11.3,Healthy
3/3/24,South,South Shore,0.77,0.029,12.3,4.3,7.2,8.2,12.3,Healthy
3/3/24,East,East Shore,0.95,0.023,13.6,6.1,7.22,8.4,12.8,Healthy
3/3/24,West,West Shore,0.92,0.021,11.2,5.1,7.15,8.6,13.2,Healthy
3/10/24,North,North Shore,0.88,0.039,8,5,7.54,8.9,13.2,Healthy
3/10/24,South,South Shore,1.08,0.026,9.2,6.2,7.14,8.9,13.6,Healthy
3/10/24,East,East Shore,0.96,0.039,11.2,7.6,7.54,7.8,12,Healthy
3/10/24,West,West Shore,1.1,0.028,13.5,5.5,7.58,8.9,15,Healthy
3/17/24,North,North Shore,0.88,0.022,14.5,7.9,7.59,7.9,14.7,Healthy
3/17/24,South,South Shore,1.03,0.029,12.1,4,7.18,7.7,14.3,Healthy
3/17/24,East,East Shore,0.97,0.036,9.8,5.8,7.19,8.6,15.9,Healthy
3/17/24,West,West Shore,0.86,0.022,23.4,6.3,7.11,7.2,13.5,Concern
3/24/24,North,North Shore,0.98,0.039,9.4,4.5,7.11,8.6,16.3,Healthy
3/24/24,South,South Shore,0.63,0.022,12.2,4.5,7.35,8.1,17.3,Healthy
3/24/24,East,East Shore,0.76,0.022,12.2,7.6,7.41,7.9,14.6,Healthy
3/24/24,West,West Shore,0.68,0.035,8.8,6,7.37,8.1,15.6,Healthy
3/31/24,North,North Shore,0.93,0.024,11.2,4.2,7.54,8.6,15.2,Healthy
3/31/24,South,South Shore,0.95,0.022,10.7,5.8,7.37,7.6,16.9,Healthy
3/31/24,East,East Shore,0.67,0.027,11.4,5.6,7.2,7.7,17.2,Healthy
3/31/24,West,West Shore,0.86,0.036,8.5,5.3,7.33,8.3,15.1,Healthy
4/7/24,North,North Shore,1,0.034,10.8,5,7.47,8.7,18.4,Healthy
4/7/24,South,South Shore,0.77,0.021,8.3,8,7.13,8.9,19.8,Healthy
4/7/24,East,East Shore,0.8,0.035,8.2,6.8,7.42,9,17.7,Healthy
4/7/24,West,West Shore,0.79,0.037,14,7.5,7.44,8.1,18.7,Healthy
4/14/24,North,North Shore,0.93,0.027,11.2,3.9,7.36,8.3,20.1,Healthy
4/14/24,South,South Shore,0.6,0.02,9.3,4.5,7.37,8.5,19.3,Healthy
4/14/24,East,East Shore,0.72,0.027,12.9,4.4,7.46,8.9,17.6,Healthy
4/14/24,West,West Shore,0.81,0.035,12.9,7.4,7.2,7.5,17.6,Healthy
4/21/24,North,North Shore,1.68,0.056,8.2,5,7.21,7.9,21.7,Concern
4/21/24,South,South Shore,0.85,0.026,8.3,7.1,7.26,8.6,20.6,Healthy
4/21/24,East,East Shore,0.76,0.026,12,3.7,7.21,8.5,19.4,Healthy
4/21/24,West,West Shore,1.35,0.038,8.4,6.1,7.35,8.1,22.1,Healthy
4/28/24,North,North Shore,1.37,0.055,13.6,3.7,7.48,8.1,21.1,Concern
4/28/24,South,South Shore,0.75,0.034,13.1,7,7.38,8.9,23.1,Healthy
4/28/24,East,East Shore,0.67,0.025,11.3,4,7.56,8.5,22.6,Healthy
4/28/24,West,West Shore,1.1,0.025,8.6,6.4,7.54,8.4,20,Healthy
5/5/24,North,North Shore,0.96,0.031,12.6,5.4,7.27,8.8,23.9,Healthy
5/5/24,South,South Shore,1.07,0.039,8.1,3.6,7.34,9,21.1,Healthy
5/5/24,East,East Shore,0.7,0.038,11.6,5.8,7.29,8.7,22.3,Healthy
5/5/24,West,West Shore,0.73,0.03,10.2,5.5,7.59,7.6,22,Healthy
5/12/24,North,North Shore,1.06,0.027,13,5.1,7.21,8.3,21.5,Healthy
5/12/24,South,South Shore,1.07,0.032,9.6,5.1,7.26,7.7,22.4,Healthy
5/12/24,East,East Shore,0.85,0.058,13,20.9,7.35,7.6,21.6,Concern
5/12/24,West,West Shore,0.68,0.034,12.8,5.4,7.37,8.9,23.5,Healthy
5/19/24,North,North Shore,0.62,0.037,8.4,7.7,7.48,8.5,23.2,Healthy
5/19/24,South,South Shore,0.72,0.034,13.1,3,7.29,8.3,24.1,Healthy
5/19/24,East,East Shore,0.91,0.052,12,17.4,7.24,6.3,25.5,Concern
5/19/24,West,West Shore,1.01,0.033,8.1,7,7.15,8.9,22,Healthy
5/26/24,North,North Shore,0.7,0.031,8.9,7.1,7.3,7.9,23.6,Healthy
5/26/24,South,South Shore,0.88,0.04,10.4,4.1,7.52,8.5,24.8,Healthy
5/26/24,East,East Shore,0.98,0.043,13.1,12.1,7.35,6.4,23.9,Concern
5/26/24,West,West Shore,0.88,0.037,12.7,3.5,7.12,8.3,23,Healthy
6/2/24,North,North Shore,1.04,0.03,13.2,3.2,7.56,7.1,26.2,Healthy
6/2/24,South,South Shore,0.62,0.039,11.4,4.6,7.39,8.4,25.6,Healthy
6/2/24,East,East Shore,0.8,0.039,12.3,15.2,7.27,6.8,25.6,Concern
6/2/24,West,West Shore,1.09,0.034,8.8,5.5,7.13,8.5,24.3,Healthy
6/9/24,North,North Shore,0.77,0.035,13,7.8,7.49,7.6,23,Healthy
6/9/24,South,South Shore,1.1,0.03,9.6,4.8,7.32,8.4,25.6,Healthy
6/9/24,East,East Shore,0.64,0.059,12,13.1,7.42,6.6,25.8,Concern
6/9/24,West,West Shore,0.65,0.02,9.9,4.5,7.23,7.5,23.4,Healthy
6/16/24,North,North Shore,0.82,0.031,9.1,5,7.28,7,23.4,Healthy
6/16/24,South,South Shore,0.76,0.028,11.6,4.5,7.14,7.6,26.6,Healthy
6/16/24,East,East Shore,1.09,0.049,13.4,8.6,7.13,6.9,24.7,Concern
